id,nom,altitude,longitude,latitude
1,Boulangerie,25,-4.015703101491354,48.74486669121691
2,Salle des fêtes,25,-4.015239140663459,48.74492186050464
3,Crêperie,5,-4.014856569536992,48.7443672236213
4,Le port,5,-4.014622630636358,48.74422250405495
5,Marie,5,-4.012923318316306,48.744464903795695
6,La Poste,35,-4.012978426113158,48.74533129595439
7,École primaire,35,-4.013836730543368,48.74532080203461
8,Pharmacie,15,-4.015872431573694,48.744366311013145
9,Bibliothèque,15,-4.016980255105276,48.744098914937105
10,Librairie,5,-4.016665326243746,48.743593603906454
11,Poissonnerie,5,-4.016075499189723,48.74310777723044
12,Phare,55,-4.012662534462987,48.746366309239995
13,Boucherie,35,-4.011495268160466,48.74529523306027
14,Bergerie,55,-4.011312939560446,48.74748052979569
15,Pré Bélier,45,-4.009257379103126,48.74722639293891
16,Quincaillerie,45,-4.016956564846333,48.745789441786364
17,Dentiste,35,-4.01820013254909,48.74479792341952
18,Barbier,15,-4.017587939063573,48.743928486493644
19,Épicerie,15,-4.017747955389328,48.743796358377686
20,Salle de jeux,15,-4.018062422255594,48.7437899354743
21,Scierie,25,-4.021474470423531,48.743798899001895
22,Gendarmerie,5,-4.017604084487115,48.74301074961062
23,Église,15,-4.009740236952372,48.7443705675445
24,Collège,15,-4.010006715847536,48.744224245372685
25,Hôtel,5,-4.007081519366921,48.741375261285945
26,Cabinet médical,5,-4.006265083289092,48.74170845222292
27,Pompier,5,-4.006068894377577,48.74217891432291
28,Cimetière,15,-4.006845744265865,48.74322789648684
29,Auberge de jeunesse,5,-4.003382101837223,48.74299767351865
30,Déchetterie,15,-4.003359497656666,48.74446857837965
31,Pinède,15,-4.02409175802312,48.742996715873396
32,Vélociste,5,-4.01912934818259,48.74268049223412
33,Gare maritime,5,-4.018192176747797,48.74216778273092
34,"Bowling",35,-4.018379963875775,48.74486077568912
35,"Bijouterie",35,-4.018471838120006,48.74490975460548
36,"Cordonnier",35,-4.019749464187122,48.7446192424776
37,"Moulin",55,-4.016742028469542,48.7463977395358
38,Camping,5,-4.026763459160912,48.74370038197837
39,Stade,15,-4.031846430822729,48.74394055031432
40,Fort du Chenal,15,-4.035045050633306,48.74215424186477
41,Menhir,5,-4.028345710607815,48.748196934160724
42,Barrage,25,-4.020154074930217,48.74906065795587
43,"Montagne",65,-4.014797919605925,48.747024535624156
44,"Coiffeur",35,-4.016395477507864,48.74542363596422
45,"Cantine",15,-4.009682374592884,48.74407907017208
46,"Carrefour du Rhû",5,-4.004546871176246,48.74271289799514
47,"Station électrique",15,-4.001954457639246,48.74307169008736
48,Jardin botanique,15,-3.990176578853866,48.74059175123833
49,"Casino",5,-4.000950904056741,48.741135124247315
50,"Parc aquatique",15,-4.010346362352669,48.750789110078216
51,Lande,35,-4.007517963846762,48.7467451382293
52,"Zone industrielle",25,-4.005964352989594,48.74779732620556
53,"Manoir",25,-3.991737053544233,48.740862659029595
54,"Restaurant",15,-4.002010874949346,48.742058865441216
55,"Jardins",45,-4.01402240501942,48.74579808339848
56,"Cinéma",5,-4.017522629972719,48.74286683161378
57,"Parc",15,-4.019068477779029,48.74357188947294
58,"Falaise",75,-4.039760109514953,48.74577305806608
59,"Parcours acrobatique",5,-4.019470065786261,48.74048898114416
60,"Verger",45,-4.020288865038362,48.74713526405362
61,"Plage",5,-4.019383739200152,48.75166818981731
62,"Marre aux canards",45,-4.019243199277812,48.747977789700094
64,"Ferme",15,-4.027461793463843,48.74699628476703
65,"Écurie",35,-4.022868438960439,48.74610257019231
66,"Pré Buflon",5,-4.030275663090021,48.747734038145396
67,"Rizière",5,-4.024974678681478,48.74905338475223
